pega_customer_id^|^pega_related_customer_id^|^cust_rel_cd^|^related_person_id^|^related_household_id^|^related_cust_type_cd^|^related_cust_num^|^subscr_market_cd^|^related_subscr_num^|^subscr_first_ind^|^subscr_valid_from_dt^|^subscr_valid_until_dt
46189091^|^45189091^|^sameperson^|^47^|^45^|^mobcust^|^324234234^|^mmc^|^gsm1721234567^|^0^|^20170112^|^20170214
46189092^|^45189092^|^samehousehold^|^48^|^46^|^dlscust^|^324234234^|^mmc^|^gsm1721234568^|^1^|^20170618^|^20170420
46189093^|^45189093^|^samehousehold^|^49^|^47^|^mobcust^|^324234234^|^mmc^|^gsm1721234569^|^1^|^20170708^|^20171018
46189094^|^45189094^|^samehousehold^|^50^|^48^|^mobcust^|^324234234^|^mmc^|^gsm1721234570^|^0^|^20171116^|^20170714
46189095^|^45189095^|^samehousehold^|^51^|^49^|^mobcust^|^324234234^|^mmc^|^gsm1721234571^|^0^|^20170516^|^20170121
46189096^|^45189096^|^sameperson^|^52^|^50^|^cabcust^|^324234234^|^mmc^|^gsm1721234572^|^1^|^20170709^|^20170727
46189097^|^45189097^|^relatedban^|^53^|^51^|^dlscust^|^324234234^|^mmc^|^gsm1721234573^|^0^|^20170218^|^20170826
46189098^|^45189098^|^relatedban^|^54^|^52^|^mobcust^|^324234234^|^mmc^|^gsm1721234574^|^1^|^20171120^|^20171124
46189099^|^45189099^|^relatedban^|^55^|^53^|^mobcust^|^324234234^|^mmc^|^gsm1721234575^|^0^|^20170529^|^20170308
46189100^|^45189100^|^sameperson^|^56^|^54^|^cabcust^|^324234234^|^mmc^|^gsm1721234576^|^0^|^20170918^|^20170621
46189101^|^45189101^|^relatedban^|^57^|^55^|^cabcust^|^324234234^|^mmc^|^gsm1721234577^|^1^|^20170401^|^20171122
46189102^|^45189102^|^samehousehold^|^58^|^56^|^mobcust^|^324234234^|^mmc^|^gsm1721234578^|^1^|^20170911^|^20171019
46189103^|^45189103^|^sameperson^|^59^|^57^|^dlscust^|^324234234^|^mmc^|^gsm1721234579^|^1^|^20170311^|^20171012
46189104^|^45189104^|^sameperson^|^60^|^58^|^mobcust^|^324234234^|^mmc^|^gsm1721234580^|^0^|^20170129^|^20170927
