building_id^|^city^|^country^|^postal_code^|^state^|^pega_customer_id^|^street
100^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189091^|^Nordstrase
101^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189092^|^Linienstrase
102^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189093^|^Nordstrase
103^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189094^|^Oststrase
104^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189095^|^Linienstrase
105^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189096^|^Koningsallee
106^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189097^|^Nordstrase
107^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189098^|^Koningsallee
108^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189099^|^Linienstrase
109^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189100^|^Linienstrase
110^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189101^|^Oststrase
111^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189102^|^Linienstrase
112^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189103^|^Koningsallee
113^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189104^|^Oststrase
114^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189105^|^Koningsallee
115^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189106^|^Oststrase
116^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189107^|^Koningsallee
117^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189108^|^Nordstrase
118^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189109^|^Nordstrase
119^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189110^|^Oststrase
120^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189111^|^Oststrase
121^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189112^|^Koningsallee
122^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189113^|^Nordstrase
123^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189114^|^Nordstrase
124^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189115^|^Nordstrase
125^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189116^|^Linienstrase
126^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189117^|^Nordstrase
127^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189118^|^Nordstrase
128^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189119^|^Oststrase
129^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189120^|^Nordstrase
130^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189121^|^Nordstrase
131^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189122^|^Nordstrase
132^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189123^|^Linienstrase
133^|^Munich^|^Germany^|^40880^|^Bavaria^|^46189124^|^Oststrase
134^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189125^|^Koningsallee
135^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^46189126^|^Linienstrase
136^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^46189127^|^Koningsallee
137^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189128^|^Nordstrase
138^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^46189129^|^Nordstrase
