pega_customer_id^|^pega_related_customer_id^|^cust_rel_cd^|^related_person_id^|^related_household_id^|^related_cust_type_cd^|^related_cust_num^|^subscr_market_cd^|^related_subscr_num^|^subscr_first_ind^|^subscr_valid_from_dt^|^subscr_valid_until_dt
45189091^|^45189091^|^sameperson^|^47^|^45^|^dlscust^|^324234234^|^mmc^|^gsm1721234567^|^0^|^20170801^|^20171021
45189092^|^45189092^|^sameperson^|^48^|^46^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234568^|^1^|^20171223^|^20170910
45189093^|^45189093^|^sameperson^|^49^|^47^|^cabcust^|^324234234^|^mmc^|^gsm1721234569^|^1^|^20170426^|^20170729
45189094^|^45189094^|^relatedban^|^50^|^48^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234570^|^1^|^20170203^|^20171005
45189095^|^45189095^|^sameperson^|^51^|^49^|^dlscust^|^324234234^|^mmc^|^gsm1721234571^|^0^|^20171022^|^20170116
45189096^|^45189096^|^samehousehold^|^52^|^50^|^mobcust^|^324234234^|^mmc^|^gsm1721234572^|^0^|^20170116^|^20170106
45189097^|^45189097^|^relatedban^|^53^|^51^|^mobcust^|^324234234^|^mmc^|^gsm1721234573^|^0^|^20171119^|^20170206
45189098^|^45189098^|^samehousehold^|^54^|^52^|^cabcust^|^324234234^|^mmc^|^gsm1721234574^|^1^|^20170822^|^20171115
45189099^|^45189099^|^relatedban^|^55^|^53^|^dlscust^|^324234234^|^mmc^|^gsm1721234575^|^0^|^20170911^|^20170913
45189100^|^45189100^|^relatedban^|^56^|^54^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234576^|^1^|^20170817^|^20170922
45189101^|^45189101^|^sameperson^|^57^|^55^|^mobcust^|^324234234^|^mmc^|^gsm1721234577^|^0^|^20170525^|^20170107
45189102^|^45189102^|^relatedban^|^58^|^56^|^dlscust^|^324234234^|^mmc^|^gsm1721234578^|^0^|^20171202^|^20170907
45189103^|^45189103^|^sameperson^|^59^|^57^|^mobcust^|^324234234^|^mmc^|^gsm1721234579^|^0^|^20170107^|^20171226
45189104^|^45189104^|^samehousehold^|^60^|^58^|^dlscust^|^324234234^|^mmc^|^gsm1721234580^|^1^|^20171215^|^20170930
45189105^|^45189105^|^sameperson^|^61^|^59^|^cabcust^|^324234234^|^mmc^|^gsm1721234581^|^0^|^20170410^|^20170826
45189106^|^45189106^|^relatedban^|^62^|^60^|^cabcust^|^324234234^|^mmc^|^gsm1721234582^|^1^|^20170705^|^20170102
45189107^|^45189107^|^sameperson^|^63^|^61^|^dlscust^|^324234234^|^mmc^|^gsm1721234583^|^1^|^20170921^|^20170821
45189108^|^45189108^|^relatedban^|^64^|^62^|^dlscust^|^324234234^|^mmc^|^gsm1721234584^|^0^|^20170712^|^20170927
45189109^|^45189109^|^sameperson^|^65^|^63^|^dlscust^|^324234234^|^mmc^|^gsm1721234585^|^0^|^20170503^|^20170609
45189110^|^45189110^|^sameperson^|^66^|^64^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234586^|^0^|^20170830^|^20170412
45189111^|^45189111^|^relatedban^|^67^|^65^|^mobcust^|^324234234^|^mmc^|^gsm1721234587^|^1^|^20170221^|^20170419
45189112^|^45189112^|^sameperson^|^68^|^66^|^mobcust^|^324234234^|^mmc^|^gsm1721234588^|^0^|^20171017^|^20170714
45189113^|^45189113^|^sameperson^|^69^|^67^|^cabcust^|^324234234^|^mmc^|^gsm1721234589^|^1^|^20170305^|^20171008
45189114^|^45189114^|^sameperson^|^70^|^68^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234590^|^1^|^20170510^|^20170811
45189115^|^45189115^|^relatedban^|^71^|^69^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234591^|^0^|^20170331^|^20171021
45189116^|^45189116^|^relatedban^|^72^|^70^|^cabcust^|^324234234^|^mmc^|^gsm1721234592^|^1^|^20171002^|^20170829
45189117^|^45189117^|^relatedban^|^73^|^71^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234593^|^0^|^20170517^|^20170909
45189118^|^45189118^|^sameperson^|^74^|^72^|^mobcust^|^324234234^|^mmc^|^gsm1721234594^|^0^|^20170201^|^20170530
45189119^|^45189119^|^relatedban^|^75^|^73^|^dlscust^|^324234234^|^mmc^|^gsm1721234595^|^1^|^20171222^|^20170205
45189120^|^45189120^|^samehousehold^|^76^|^74^|^cabcust^|^324234234^|^mmc^|^gsm1721234596^|^0^|^20170224^|^20171204
45189121^|^45189121^|^sameperson^|^77^|^75^|^dlscust^|^324234234^|^mmc^|^gsm1721234597^|^1^|^20171122^|^20170227
45189122^|^45189122^|^samehousehold^|^78^|^76^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234598^|^0^|^20170601^|^20171217
45189123^|^45189123^|^relatedban^|^79^|^77^|^mobcust^|^324234234^|^mmc^|^gsm1721234599^|^0^|^20170213^|^20170310
45189124^|^45189124^|^samehousehold^|^80^|^78^|^dlscust^|^324234234^|^mmc^|^gsm1721234600^|^1^|^20170923^|^20170920
45189125^|^45189125^|^samehousehold^|^81^|^79^|^mobcust^|^324234234^|^mmc^|^gsm1721234601^|^1^|^20171104^|^20170702
45189126^|^45189126^|^sameperson^|^82^|^80^|^dlscust^|^324234234^|^mmc^|^gsm1721234602^|^0^|^20170208^|^20170601
45189127^|^45189127^|^samehousehold^|^83^|^81^|^mobcust^|^324234234^|^mmc^|^gsm1721234603^|^1^|^20170205^|^20170919
45189128^|^45189128^|^samehousehold^|^84^|^82^|^dlscust^|^324234234^|^mmc^|^gsm1721234604^|^1^|^20171021^|^20171028
45189129^|^45189129^|^sameperson^|^85^|^83^|^dlscust^|^324234234^|^mmc^|^gsm1721234605^|^0^|^20171123^|^20170301
