building_id^|^city^|^country^|^postal_code^|^state^|^pega_customer_id^|^street
47^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284561^|^Linienstrase
48^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284562^|^Oststrase
49^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284563^|^Linienstrase
50^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284564^|^Linienstrase
51^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284565^|^Oststrase
52^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284566^|^Nordstrase
53^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284567^|^Koningsallee
54^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284568^|^Nordstrase
55^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284569^|^Koningsallee
56^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284570^|^Koningsallee
57^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284571^|^Linienstrase
58^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284572^|^Koningsallee
59^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284573^|^Nordstrase
60^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284574^|^Linienstrase
61^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284575^|^Linienstrase
62^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284576^|^Nordstrase
63^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284577^|^Nordstrase
64^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284578^|^Linienstrase
65^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284579^|^Oststrase
66^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284580^|^Koningsallee
67^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284581^|^Nordstrase
68^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284582^|^Nordstrase
69^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284583^|^Koningsallee
70^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284584^|^Oststrase
71^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284585^|^Nordstrase
72^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284586^|^Oststrase
73^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284587^|^Nordstrase
74^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284588^|^Koningsallee
75^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284589^|^Nordstrase
76^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284590^|^Nordstrase
77^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284591^|^Linienstrase
78^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284592^|^Koningsallee
79^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284593^|^Nordstrase
80^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284594^|^Oststrase
81^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284595^|^Oststrase
82^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284596^|^Koningsallee
83^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284597^|^Nordstrase
84^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284598^|^Oststrase
85^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284599^|^Koningsallee
86^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284600^|^Nordstrase
87^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284601^|^Koningsallee
88^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284602^|^Koningsallee
89^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284603^|^Oststrase
90^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284604^|^Nordstrase
91^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284605^|^Oststrase
92^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284606^|^Oststrase
93^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284607^|^Linienstrase
94^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284608^|^Oststrase
95^|^Berlin^|^Germany^|^40880^|^Brandenburg^|^89284609^|^Koningsallee
96^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284610^|^Linienstrase
97^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284611^|^Oststrase
98^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284612^|^Nordstrase
99^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284613^|^Linienstrase
100^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284614^|^Linienstrase
101^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284615^|^Linienstrase
102^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284616^|^Linienstrase
103^|^Munich^|^Germany^|^40880^|^Bavaria^|^89284617^|^Oststrase
104^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284618^|^Linienstrase
105^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284619^|^Nordstrase
106^|^Frankfurt^|^Germany^|^40880^|^Hesse^|^89284620^|^Nordstrase
107^|^Dusseldorf^|^Germany^|^40880^|^NorthRhine-Westphalia^|^89284621^|^Linienstrase
